Artist,Album,# Items,Total Time
Lil Jon & The East Side Boyz,Crunk Juice,20,1:15:05
Lil Jon & The East Side Boyz,Kings Of Crunk,21,1:16:10
Lil Keed,Keed Talk to 'Em,15,50:36:00
Lil Keed,Long Live Mexico,20,1:03:48
Lil Keed,Trapped on Cleveland 3 (Deluxe),37,1:53:05
Lil Mosey,Certified Hitmaker (AVA Leak),20,51:36:00
Lil Mosey,Northsbest,11,28:19:00
Lil Nas X,MONTERO (Call Me By Your Name) - EP,4,10:16
Lil Nas X,7 - EP,8,18:43
Lil Peep,CALIFORNIA GIRLS - EP,6,22:30
Lil Peep,"Come Over When You're Sober, Pt. 1",7,23:30
Lil Peep,"Come Over When You're Sober, Pt. 2",11,38:12:00
Lil Peep,crybaby,10,28:30:00
Lil Peep,EVERYBODY'S EVERYTHING,19,57:50:00
Lil Peep,HELLBOY,16,44:21:00
Lil Peep,Vertigo - EP,4,9:48
Lil Peep & Lil Tracy,CASTLES II - EP,5,13:06
Lil Scrappy,Bred 2 Die Born 2 Live (Bonus Track Version),21,1:16:29
Lil Scrappy,Confident,12,44:36:00
Lil Scrappy,The King of Crunk & BME Recordings Present: T…,21,1:04:41
Lil Scrappy,Money In the Bank - EP,3,12:02
Lil Scrappy,Prince Of The South,15,47:21:00
Lil Scrappy,Prince Of The South 2,15,48:13:00
Lil Scrappy,Tha Grustle,14,56:27:00
Artist,Album,# Items,Total Time
Lil Skies,Life of a Dark Rose,14,40:59:00
Lil Skies,Unbothered (Deluxe),21,1:01:27
Lil Tecca,IDK - Single,1,3:06
Lil Tecca,Show Me Up - Single,1,2:47
Lil Tecca,Virgo World,19,45:41:00
Lil Tecca,We Love You Tecca,18,42:54:00
Lil Tjay,Destined 2 Win,21,1:04:57
Lil Tjay,F.N - Ep,6,21:31
Lil Tjay,State of Emergency,7,22:22
Lil Tjay,True 2 Myself,17,55:57:00
Lil Uzi Vert,Eternal Atake,18,1:02:14
Lil Uzi Vert,Lil Uzi Vert Vs. The World,9,33:52:00
Lil Uzi Vert,Lil Uzi Vert Vs. The World 2,14,42:49:00
Lil Uzi Vert,Luv Is Rage,12,43:16:00
Lil Uzi Vert,Luv Is Rage 2 (Deluxe),20,1:09:32
Lil Wayne,Da Da Da - Single,1,3:41
Lil Wayne,Don't Crucify Me,11,39:53:00
Lil Wayne,Funeral,24,1:16:19
Lil Wayne,Gotti (feat. The Lox) - Single,1,4:42
Lil Wayne,Grindin' (feat. Drake) - Single,1,5:06
Lil Wayne,I Am Not a Human Being,13,55:35:00
Lil Wayne,I Am Not a Human Being II (Deluxe Version),17,1:12:54
Lil Wayne,I Am Not A Human Being II-(Deluxe Edition),1,4:21
Lil Wayne,I'm Single - Single,1,5:33
Lil Wayne,Lights Out,19,1:15:36
Lil Wayne,Lollipop - Single,1,4:09
Lil Wayne,A Milli - Single,1,3:42
Lil Wayne,No Ceilings 3: B Side,14,41:28:00
Lil Wayne,Nothing But Trouble (From 808 the Soundtrack)…,1,3:38
Lil Wayne,Piru Dreams,11,46:05:00
Lil Wayne,Rebirth (Deluxe Version),14,54:52:00
Lil Wayne,Sorry 4 the Wait 2,17,1:09:51
Lil Wayne,Start A Fire (feat. Christina Milian) - Single,1,3:53
Artist,Album,# Items,Total Time
Lil Wayne,Tha Block Is Hot,17,1:10:23
Lil Wayne,Tha Carter,21,1:19:16
Lil Wayne,Tha Carter II,22,1:17:33
Lil Wayne,Tha Carter III,18,1:28:15
Lil Wayne,Tha Carter V,23,1:27:55
Lil Wayne,6 Foot 7 Foot (feat. Cory Gunz) - Single,1,4:09
Lil Wayne,500 Degreez,21,1:10:32
Lil West,Final Home - EP,6,13:20
Lil West,Vex Part 2,8,20:07
Lil Xan,Watch Me Fall - Single,1,2:47
Lil Xan,West Side - Single,1,2:28
Lil Zay Osama,Trench Baby (Deluxe Edition),19,50:44:00
Lil' Flip,El Jefe,17,1:02:35
Lil' Flip,I Need Mine,37,2:20:46
Lil' Flip,The Music Machine,10,35:39:00
Lil' Flip,U Gotta Feel Me,21,1:26:44
Lil' Flip,Undaground Legend,16,1:09:08
Lil' Flip,Undaground Legend (Bonus Disc),7,31:38:00
Lil' Keke,I'm a G (feat. Birdman) - Single,1,4:23
Lil' Keke,Slfmade,15,50:55:00
Lil' Kim,In The Air Tonite (feat. Phil Collins) - Single,1,4:22
Lil' Kim,#Mine (feat. Kevin Gates) - Single,1,4:43
Lil' Kim,No Time (feat. Puff Daddy) - Single,1,4:04
Lil' Kim,Not Tonight - Single,1,4:13
Lily Allen,"Alright, Still (Deluxe Edition)",19,1:04:42
Lily Allen,"It's Not Me, It's You",11,40:40:00
Lily Allen,No Shame,14,51:05:00
Lily Allen,Sheezus (Special Edition),17,1:01:03
Lily Allen,Somewhere Only We Know - Single,1,3:28
Lily Allen,URL Badman - EP,3,12:16
Limp Bizkit,Chocolate Starfish and the Hot Dog Flavored Wa…,15,1:15:09
Limp Bizkit,Gold Cobra (Deluxe Version),17,1:03:00
Limp Bizkit,Limp Bizkit: Greatest Hits,17,1:11:57
Artist,Album,# Items,Total Time
Limp Bizkit,Results May Vary,18,1:08:27
Limp Bizkit,Significant Other (Explicit Version),16,59:06:00
Limp Bizkit,"Three Dollar Bill, Y'all",13,1:00:03
LINKIN PARK,The Hunting Party,13,49:10:00
Linkin Park,Hybrid Theory (Bonus Track Version),15,49:16:00
Linkin Park,Meteora (Bonus Track Version),16,46:04:00
Linkin Park,Minutes to Midnight (Deluxe Version),13,46:59:00
LION BABE,Begin,14,48:09:00
LION BABE,Lion Babe EP,4,14:02
Little Dragon,Nabuma Rubberband,12,42:55:00
Lizzo,Batches & Cookies - Single,1,3:24
Lizzo,Cuz I Love You (Deluxe),14,42:10:00
LL Cool J,Bigger & Deffer,12,45:15:00
LL Cool J,THE DEFinition,11,44:59:00
LL Cool J,Exit 13 (Bonus Track Version),21,1:19:59
LL Cool J,G.O.A.T,19,1:16:22
LL Cool J,Mama Said Knock You Out,15,1:06:38
LL Cool J,Mr. Smith,16,1:03:29
LL Cool J,Phenomenon,10,44:03:00
LL Cool J,Radio,11,47:10:00
LL Cool J,Todd Smith,13,51:46:00
LL Cool J,Walking with a Panther,18,1:16:27
LL Cool J,10,15,1:02:33
LL Cool J,14 Shots to the Dome,14,1:04:45
Lloyd,Street Love,16,1:04:53
Lloyd Banks,The Course of the Inevitable,18,1:07:54
Lloyd Banks,H.F.M. 2,15,57:31:00
Lloyd Banks,The Hunger For More,14,55:31:00
Lloyd Banks,Rotten Apple,16,1:02:02
LMFAO,Party Rock,15,53:05:00
LMFAO,Sorry For Party Rocking,16,58:48:00
Logic,Bobby Tarantino III,12,33:12:00
Logic,Confessions of a Dangerous Mind,16,55:06:00
Artist,Album,# Items,Total Time
Logic,Everybody,13,1:11:01
Logic,The Incredible True Story,18,1:01:38
Logic,No Pressure,15,59:56:00
Logic,Under Pressure - Single,1,3:49
Logic,Under Pressure (Deluxe Version),15,1:07:42
Logic,Young Jesus (feat. Big Lenbo) - Single,1,3:35
Logic,YSIV,14,1:16:10
Lolo Zouaï,High Highs to Low Lows (Deluxe),15,47:49:00
London Grammar,Nightcall - EP,5,24:40:00
Loon,Bad Boy,12,41:44:00
Loon,Loon,19,1:11:00
Loon,No Friends,15,42:50:00
Loon,Wizard Of Harlem,12,37:56:00
Lorde,The Love Club,5,16:38
Lorde,Magnets (feat. Lorde) [The Remixes] - EP,6,33:52:00
Lorde,Melodrama,11,41:03:00
Lorde,Pure Heroine (Extended),16,56:40:00
Lost Kings,Lost Angeles - EP,6,19:08
Lost Kings,Oops (I'm Sorry) [feat. Ty Dolla $ign & GASHI] -…,1,3:22
Lost Kings,Paper Crowns (Deluxe) - EP,6,19:25
Lou Elliotte,Best You've Ever Had - Single,1,3:27
LoveHateHero,America Underwater,10,33:06:00
LoveHateHero,Just Breathe,11,42:45:00
LoveHateHero,White Lies,12,41:46:00
The Lox,"Money, Power & Respect",21,1:07:21
The Lox,We Are the Streets,18,1:08:31
LPB Poody,Batman (Remix) [feat. Moneybagg Yo] - Single,1,3:35
Ludacris,Burning Bridges - EP,6,23:11
Ludacris,Chicken-N-Beer,17,1:00:30
Ludacris,#IDGAF,10,38:47:00
Ludacris,Ludaversal (Deluxe),18,1:07:14
Ludacris,"Party Girls (feat. Wiz Khalifa, Jeremih & Cashme…",1,4:15
Ludacris,The Red Light District,16,1:05:30
Artist,Album,# Items,Total Time
Ludacris,Theater Of The Mind,15,1:04:44
Ludacris,Word of Mouf,18,1:19:01
Luke Combs,This One's for You,12,43:04:00
Luke Combs,What You See Ain't Always What You Get (Delux…,23,1:21:25
Luniz,High Timez,23,1:14:47
Luniz,Operation Stackola,16,1:07:48
Lupe Fiasco,Food & Liquor II: The Great American Rap Albu…,17,1:13:26
Lupe Fiasco,Lasers,14,57:12:00
Lupe Fiasco,Lupe Fiasco's Food & Liquor (5th Anniversary E…,20,1:26:08
Lupe Fiasco,Lupe Fiasco's The Cool (Deluxe Edition),19,1:10:57
Lupe Fiasco,Mission - Single,1,6:03
Lupe Fiasco,Next To It (feat. Ty Dolla $ign) - Single,1,3:47
Lupe Fiasco,Old School Love (feat. Ed Sheeran) - Single,1,4:34
Lupe Fiasco,Pick up the Phone - Single,1,4:41
Lupe Fiasco,Pu$$y (feat. Billy Blue) - Single,1,4:34
Lupe Fiasco,Tetsuo & Youth,16,1:18:53
LV,Done Wit It (feat. DDG) - Single,1,2:55
Lykke Li,I Never Learn (Deluxe Edition),10,36:31:00
Lykke Li,No Rest For The Wicked (feat. A$AP Rocky) - Si…,1,4:22
Lykke Li,No Rest For the Wicked (Remixes) - EP,4,19:06
Lykke Li,Wounded Rhymes (Deluxe Version),11,43:48:00
Lykke Li,Youth Novels (Special Edition),17,1:07:04
Lyrica Anderson,King Me 2 - EP,9,28:54:00
Lyrica Anderson,Sex You Up (feat. Wiz Khalifa) - Single,1,3:20
M.I.A.,Bad Girls - Single,1,3:48
M.I.A.,Borders - Single,1,4:12
M.I.A.,Double Bubble Trouble - Single,1,2:59
M.I.A.,Galang (Serj Tankian Remix) - Single,1,3:34
M.I.A.,"Matahdatah Scroll 01 ""Broader Than a Border"" -…",2,6:05
M.I.A.,Matangi,15,57:22:00
M.I.A.,Paper Planes - Single,2,6:50
Ma$e,Welcome Back,12,49:00:00
MAC MILLER,Best Day Ever (5th Anniversary Remastered Edit…,16,51:25:00
Artist,Album,# Items,Total Time
Mac Miller,Blue Slide Park,16,45:59:00
MAC MILLER,Circles,12,48:46:00
Mac Miller,The Divine Feminine,10,52:38:00
Mac Miller,GO:OD AM,17,1:10:35
MAC MILLER,Swimming,13,58:40:00
Mac Miller,Watching Movies With The Sound Off,19,1:11:40
Machine Gun Kelly,A Little More (feat. Victoria Monet) - Single,1,3:58
Machine Gun Kelly,BINGE - EP,9,24:20:00
Machine Gun Kelly,Black Flag,14,47:35:00
Machine Gun Kelly,Bloom (Deluxe Edition),15,52:44:00
Machine Gun Kelly,DAYWALKER! (feat. CORPSE) - Single,1,2:18
Machine Gun Kelly,Fuck It,10,34:32:00
Machine Gun Kelly,General Admission,16,1:04:24
Machine Gun Kelly,Half Naked & Almost Famous,5,17:10
Machine Gun Kelly,Homecoming,14,56:43:00
Machine Gun Kelly,Lace Up,16,1:00:09
Machine Gun Kelly,love race (feat. Kellin Quinn) - Single,1,3:09
Machine Gun Kelly,Rage Pack,12,38:51:00
Machine Gun Kelly,Rap Devil - Single,1,4:46
Machine Gun Kelly,Tickets To My Downfall (SOLD OUT Deluxe),21,53:13:00
Machine Gun Kelly,100 Words And Running,21,57:24:00
Mack 10,Bang Or Ball,18,1:11:13
Mack 10,Based On A True Story (1997),16,48:39:00
Mack 10,"Ghetto, Gutter & Gangsta",21,1:13:26
Mack 10,Hustlas Handbook,16,58:14:00
Mack 10,Mack 10,14,47:54:00
Mack 10,The Paper Route,13,46:31:00
Mack 10,The Recipe,18,1:01:41
Mack 10,Soft White,12,46:11:00
Macklemore,GEMINI,16,1:00:18
Macklemore,The Language of My World,20,1:13:39
Macklemore,Love Not War,12,48:11:00
Macklemore,The Unplanned Mixtape,10,40:45:00
Artist,Album,# Items,Total Time
Macklemore & Ryan Lewis,The Heist (Deluxe Edition),18,1:16:23
Macklemore & Ryan Lewis,This Unruly Mess I've Made,13,57:49:00
Macklemore & Ryan Lewis,The VS. EP,7,29:31:00
Macklemore & Ryan Lewis,VS. Redux,15,1:08:37
Macy Gray,Stoned - Single,1,4:10
Madison Beer,Reckless - Single,1,3:23
Madison Beer,Something Sweet - Single,1,3:16
Madonna,Celebration (feat. Akon) - Single,1,3:55
Madonna,Girl Gone Wild - Single,1,3:48
Madonna,Give Me All Your Luvin' (Party Rock Remix) (feat…,1,4:03
Madonna,Madame X (Deluxe),15,1:04:38
Madonna,4 Minutes (feat. Justin Timberlake & Timbaland)…,1,4:05
Maejor Ali,Me & My Team (feat. Trey Songz & Kid Ink) - Sin…,1,4:03
Major Lazer,Apocalypse Soon - EP,5,17:29
Major Lazer,Lean On (feat. MØ & DJ Snake) - Single,1,2:57
Major Lazer,Lean On (Remixes) [feat. MØ & DJ Snake] - EP,6,26:55:00
Major Lazer,"Lean On (Remixes) [feat. MØ & DJ Snake], Vol.…",2,8:42
Major Lazer,Light It Up (feat. Nyla & Fuse ODG) [Remix] - Si…,1,2:46
Major Lazer,Peace Is The Mission (Extended),14,48:21:00
Major Lazer,Powerful (Remixes) [feat. Ellie Goulding & Tarrus…,6,25:31:00
Mak Sauce,Good Morning (Remix) [feat. Lil Yachty & NLE C…,1,3:28
Mak Sauce,RazerBlade Flow (feat. ZaeHD & CEO & YungM…,1,2:47
Mally Mall,"Wake Up In It (feat. Sean Kingston, French Mont…",1,4:02
Mannie Fresh,The Mind Of Mannie Fresh,30,1:19:09
Mannie Fresh,Real Big - Single,1,3:56
Mannie Fresh,Return Of The Ballin,12,47:52:00
Mannie Fresh,We Got This,7,24:25:00
mansionz,Mansionz,13,51:35:00
Mariah Carey,Me. I Am Mariah…The Elusive Chanteuse (Delu…,18,1:15:00
Mariah Carey,#1 to Infinity,19,1:19:17
Marilyn Manson,Antichrist Superstar,17,1:11:48
Marilyn Manson,Born Villain,15,1:07:04
Marilyn Manson,"Eat Me, Drink Me (Bonus Track Version)",12,56:24:00
Artist,Album,# Items,Total Time
Marilyn Manson,Holy Wood (In the Shadow of the Valley of Death),19,1:08:17
Marilyn Manson,Lest We Forget - The Best of Marilyn Manson,17,1:05:58
Marilyn Manson,Mechanical Animals,14,1:02:37
Marilyn Manson,Portrait of an American Family,13,1:01:05
Marilyn Manson,Smells Like Children,16,52:00:00
Marilyn Manson,The High End of Low,22,1:44:36
Marilyn Manson,The Pale Emperor (Deluxe),13,1:05:29
Marilyn Manson,WE ARE CHAOS,10,42:31:00
Mario,Go,13,52:26:00
Mario Winans,Hurt No More,17,59:43:00
Maroon 5,Beautiful Mistakes - Single,1,3:18
Maroon 5,Girls Like You (feat. Cardi B) - Single,1,3:56
Maroon 5,JORDI (Deluxe),13,40:35:00
Maroon 5,Maps - Single,1,3:10
Maroon 5,Memories - Single,1,3:09
Maroon 5,Nobody's Love - Single,1,3:31
Maroon 5,Red Pill Blues (Deluxe),24,1:45:54
Maroon 5,Sugar (Remix) [feat. Nicki Minaj] - Single,1,3:55
Maroon 5,This Summer's Gonna Hurt Like a Motherf****r -…,1,3:44
Maroon 5,V (Deluxe Version),14,52:18:00
Marshmello,Alone - Single,1,4:37
Marshmello,Alone (The Remixes),6,22:56
Marshmello,Back in Time - Single,1,2:41
Marshmello,Baggin' - Single,1,3:17
Marshmello,Be Kind,1,2:53
Marshmello,Be Kind (Stripped) - Single,1,2:54
Marshmello,Be Kind (Surf Mesa Remix) - Single,1,2:54
Marshmello,"Been Thru This Before (feat. Giggs, SAINt JHN)…",1,3:27
Marshmello,BIBA - Single,1,2:56
marshmello,BLocKs (Original Mix) - Single,1,3:30
marshmello,BoUnCE (Original Mix) - Single,1,3:30
Marshmello,Chasing Colors (feat. Noah Cyrus) - Single,1,3:15
Marshmello,Come & Go - Single,1,3:25
Artist,Album,# Items,Total Time
Marshmello,Crusade - Single,1,2:51
Marshmello,Everyday - Single,1,3:25
marshmello,FinD Me (Original Mix) - Single,1,3:00
Marshmello,Fly (feat. Leah Culver) - Single,1,3:14
Marshmello,FRIENDS,1,3:23
Marshmello,FRIENDS (A Boogie wit da Hoodie Remix) - Single,1,3:22
Marshmello,FRIENDS (Acoustic) - Single,1,3:29
Marshmello,FRIENDS (Borgeous Remix) - Single,1,3:23
Marshmello,FRIENDS (Justin Caruso Remix) - Single,1,3:15
Marshmello,FRIENDS (R3hab Remix) - Single,1,2:37
Marshmello,Happier - Single,1,3:34
Marshmello,Happier (Remixes Pt. 2) - EP,6,21:48
Marshmello,Happier (Remixes) - EP,4,12:32
Marshmello,Happier (Stripped) - Single,1,4:11
Marshmello,Here With Me (feat. CHVRCHES) - Single,1,2:36
marshmello,HoMe (Original Mix) - Single,1,3:48
Marshmello,The Idea Of Her,1,2:36
marshmello,iNvinCibLe (Original Mix) - Single,1,4:02
Marshmello,Joytime,10,35:07:00
Marshmello,Joytime II,9,31:28:00
Marshmello,Joytime III,13,38:50:00
marshmello,KeEp IT MeLLo - Single,1,4:07
marshmello,KnOw ME (Original Mix) - Single,1,3:26
Marshmello,Lavandia - Single,1,2:28
Marshmello,Light It Up - Single,1,2:17
Marshmello,Like This - Single,1,2:44
Marshmello,Love U - Single,1,3:28
Marshmello,Make Me (Cry) [Marshmello Remix] [feat. Labrint…,1,3:24
Marshmello,Marshmello Fortnite Extended Set (DJ Mix),27,29:54:00
Marshmello,Moving On - Single,1,2:59
Marshmello,OK Not To Be OK - Single,1,2:40
Marshmello,OK Not to Be OK (Duke & Jones Remix) - Single,1,2:34
Marshmello,OK Not to Be OK (Lost Stories Remix) - Single,1,3:05
Artist,Album,# Items,Total Time
Marshmello,One Thing Right - Single,1,3:02
Marshmello,One Thing Right (Remixes) - EP,5,16:19
marshmello,Pr0 (Original Mix) - Single,1,3:28
Marshmello,Project Dreams - Single,1,2:48
Marshmello,Rescue Me (feat. A Day to Remember) - Single,1,3:57
Marshmello,Ritual (feat. Wrabel) - Single,1,3:57
Marshmello,Roll the Dice - EP,3,8:38
Marshmello,Sell Out - Single,1,3:12
Marshmello,Shockwave,12,34:20:00
marshmello,ShOw YoU (Original Mix) - Single,1,2:58
Marshmello,Silence (feat. Khalid),1,3:01
Marshmello,Spotlight - Single,1,2:58
marshmello,SuMmeR (Original Mix) - Single,1,3:53
marshmello,TaKe IT BaCk (Original Mix) - Single,1,3:53
Marshmello,Tongue Tied - Remix EP,5,18:06
Marshmello,Tongue Tied - Single,1,3:06
Marshmello,Too Much (feat. Usher) - Single,1,2:46
Marshmello,Too Much (feat. Usher) [Alle Farben Remix] - Sin…,1,2:27
Marshmello,Twinbow - Single,1,2:46
marshmello,WaNt U 2 (Original Mix) - Single,1,3:03
marshmello,WaVeZ (Original Mix) - Single,1,3:43
marshmello,WroNg - Single,1,3:28
Marshmello,You (Acoustic) - Single,1,2:32
Mase,Double Up,18,1:04:57
Mase,Harlem World,40,2:12:08
Masked Wolf,Astronaut In The Ocean - Single,1,2:13
Masked Wolf,Astronaut in the Ocean (Remix) [feat. G-Eazy &…,1,3:16
Masked Wolf,Evil On The Inside - Single,1,2:40
Masked Wolf,Night Rider - Single,1,2:39
Masked Wolf,Numb - Single,1,3:08
Masked Wolf,Speed Racer - Single,1,2:31
Masked Wolf,Star - Single,1,2:33
Masked Wolf,Switch - Single,1,3:02
Artist,Album,# Items,Total Time
Masked Wolf,Vibin - Single,1,2:24
Masked Wolf,Water Walkin - Single,1,2:36
Master P,"Empire, from the Hood to Hollywood",19,1:06:27
Master P,Game Face,13,44:33:00
Master P,Get Away Clean,14,51:45:00
Master P,Ghetto Bill,20,1:13:36
Master P,Ghetto D,19,1:19:36
Master P,Ghetto Postage,23,1:10:42
Master P,The Ghetto's Tryin To Kill Me,14,48:21:00
Master P,The Gift,18,1:02:50
Master P,Good Side Bad Side (Disc 1),12,35:00:00
Master P,"Good Side, Bad Side (Bad Side: Disc Two)",12,40:44:00
Master P,Ice Cream Man,20,1:20:27
Master P,Mama's Bad Boy,14,50:26:00
Master P,Mp Da Last Don (Disc 1),14,54:57:00
Master P,Mp Da Last Don (Disc 2),15,52:07:00
Master P,Only God Can Judge Me,23,1:12:18
Master P,Tony Mantana,13,38:59:00
Master P,Two Three (feat. Rick Ross) - Single,1,3:10
Master P,What The Business Is (feat. Clyde Carson & Eas…,1,3:39
Master P,99 Ways To Die,13,51:59:00
McFly,Happiness - Single,1,3:14
McFly,Love Is On The Radio - Single,1,3:48
McFly,Red (The Lost Songs) - Single,1,3:24
McFly,Touch the Rain (The Lost Songs) - Single,1,4:28
McFly,Young Dumb Thrills,12,45:09:00
Meek Mill,B Boy (feat. Big Sean & A$AP Ferg) - Single,1,3:37
Meek Mill,Championships,19,1:09:25
Meek Mill,DC4,14,55:38:00
Meek Mill,Dreams and Nightmares (Deluxe Version),16,1:03:41
Meek Mill,Dreams Worth More Than Money,14,54:26:00
Meek Mill,FYM (feat. Boosie BadAzz) - Single,1,3:58
Meek Mill,I Don't Know - Single,1,4:16
Artist,Album,# Items,Total Time
Meek Mill,Maybach Team,10,39:54:00
Meek Mill,Monster - Single,1,2:51
Meek Mill,Off The Corner (feat. Rick Ross) - Single,1,3:44
Meek Mill,Wins & Losses (Deluxe),19,1:15:11
Megan Thee Stallion,Good News,17,49:51:00
Meghan Trainor,TREAT MYSELF (DELUXE),20,1:02:20
Memphis Bleek,534,14,48:53:00
Method Man,I'll Be There For You (feat. Mary J. Blige) - Single,1,5:10
Method Man,4.21...The Day After,20,1:02:00
Metro Boomin,Chanel Vintage (feat. Future & Young Thug) - Si…,1,4:42
Metro Boomin,NOT ALL HEROES WEAR CAPES,13,43:50:00
Michael Jackson,Bad,11,48:42:00
Michael Jackson,Ben,10,31:30:00
Michael Jackson,Dangerous,14,1:14:17
Michael Jackson,"Forever, Michael",10,33:24:00
Michael Jackson,Got to Be There,10,35:44:00
Michael Jackson,Invincible,16,1:16:55
Michael Jackson,Love Never Felt So Good (Fedde Le Grand Rem…,1,3:26
Michael Jackson,Music & Me,10,32:14:00
Michael Jackson,Off the Wall,10,42:30:00
Michael Jackson,Thriller,9,42:19:00
Michael Jackson,XSCAPE (Deluxe Edition),17,1:13:26
The Midi Mafia,Do 4 Love - Single,1,3:45
The Midi Mafia,"Sing For Me (feat. Elijah Blake, Rick Ross & The…",1,3:48
The Midi Mafia,Vegas Lights,9,33:53:00
Migos,Culture,13,58:16:00
Migos,Culture II,24,1:45:19
Migos,Culture III (Deluxe),24,1:35:24
Migos,Fight Night - Single,1,3:36
Migos,One Time - Single,1,4:41
Migos,Young Rich N*ggas,20,1:13:53
Migos,Yrn - Single,1,4:29
Migos,Yung Rich Nation,15,56:36:00
Artist,Album,# Items,Total Time
Miguel,Coffee (F***ing) [feat. Wale] - Single,1,5:14
Miguel,Rogue Waves - EP,5,19:58
Miguel,Simple Things (Remix) [feat. Chris Brown & Futu…,1,3:58
Miguel,Wildheart (Deluxe),16,58:35:00
Mike Jones,The American Dream,7,28:08:00
Mike Jones,The Voice,16,1:02:12
Mike Posner,"At Night, Alone.",18,58:23:00
Mike Posner,Bow Chicka Wow Wow (feat. Lil' Wayne),1,3:43
Mike Posner,Cooler Than Me - Single,1,3:35
Mike Posner,Drug Dealer Girl - Single,1,3:58
Mike Posner,I Took a Pill in Ibiza (SeeB Remix) - Single,1,3:19
Mike Posner,Jealousy (feat. blackbear) - Single,1,3:32
Mike Posner,Looks Like Sex - Single,1,3:25
Mike Posner,Operation: Wake Up,10,36:17:00
Mike Posner,The Truth - EP,4,16:38
Mike Will Made-It,"Buy The World (feat. Future, Lil' Wayne & Kendri…",1,3:47
Mike Will Made-It,Choppin' Blades (feat. Jody HiGHROLLER & Sli…,1,4:35
Mike Will Made-It,Gotti Made-It,9,28:13:00
Mike Will Made-It,Ransom,20,1:07:34
Mike Will Made-It,Ransom 2,17,1:00:29
Mike Will Made-It,Take A Picture (feat. Young Thug) - Single,1,4:06
Mike Will Made-It,"23 (feat. Miley Cyrus, Wiz Khalifa & Juicy J) - Si…",1,4:13
Mila J,M.I.L.A. - EP,5,18:37
Mila J,"Smoke, Drink, Break-Up - Single",1,3:32
Miley Cyrus,Bangerz (Deluxe Version),16,1:01:10
Miley Cyrus,Breakout,12,39:44:00
Miley Cyrus,Can't Be Tamed,13,48:13:00
Miley Cyrus,Hannah Montana 2: Meet Miley Cyrus,20,1:08:06
Miley Cyrus,Miley Cyrus & Her Dead Petz,23,1:32:19
Miley Cyrus,On a Roll - Single,2,4:46
Miley Cyrus,Plastic Hearts,15,50:26:00
Miley Cyrus,Real and True (feat. Mr Hudson) - Single,1,5:09
Miley Cyrus,SHE IS COMING,6,19:07
Artist,Album,# Items,Total Time
Miley Cyrus,Slide Away - Single,1,3:54
Miley Cyrus,Party In The U.S.A. - EP,3,14:31
Miley Cyrus,The Time of Our Lives (Deluxe Edition),8,30:12:00
Miley Cyrus,Younger Now,11,41:17:00
Mims,Guilt,14,48:19:00
MIMS,Music Is My Savior,16,57:41:00
Mims,This Is Why I'm Hot - Single,1,4:14
Missy Elliott,The Cookbook,16,1:02:23
Missy Elliott,Da Real World,18,1:06:37
Missy Elliott,Miss E ...So Addictive,19,1:08:22
Missy Elliott,Pep Rally - Single,1,4:23
Missy Elliott,Respect M.E.,17,1:08:24
Missy Elliott,Supa Dupa Fly,17,1:00:12
Missy Elliott,This Is Not A Test!,16,56:14:00
Missy Elliott,Under Construction,14,56:48:00
Missy Elliott,WTF (Where They From) [feat. Pharrell Williams]…,1,3:13
Mistah F.A.B.,Bedroom Lies,11,42:36:00
MMG,"Self Made, Vol. 1 (Deluxe Version)",15,1:09:30
MMG,"Self Made, Vol. 2 (Deluxe Version)",14,1:00:24
MMG,"Self Made, Vol. 3",16,1:10:41
MØ,Don't Wanna Dance - Single,1,3:18
MØ,Final Song - Single,1,3:56
MØ,Final Song (Diplo & Jauz Remix) - Single,1,3:10
MØ,Forever Neverland,14,44:55:00
MØ,Kamikaze - Single,1,3:32
MØ,New Year's Eve - Single,2,7:28
MØ,No Mythologies To Follow (Deluxe Edition),20,1:15:47
MØ,Pilgrim - Single,1,3:51
MØ,Say You'll Be There - Single,1,3:53
MØ,Who Do You Think Of? (The Remixes) - EP,4,16:20
MØ,XXX 88 (feat. Diplo) - Single,1,3:40
MØ,XXX 88 (Remixes) (feat. Diplo) - Single,3,12:46
Mo Thugs,Family Scriptures Chapter II: Family Reunion,16,1:13:46
Artist,Album,# Items,Total Time
MO3,Shottaz 4Eva,12,36:59:00
MOBB DEEP,AMRIKAZ NIGHTMARE,16,1:01:35
Mobb Deep,Blood Money,16,1:00:06
Mobb Deep,Hell On Earth,14,59:07:00
Mobb Deep,The Infamous,16,1:06:59
Mobb Deep,The Infamous Mobb Deep (Deluxe Edition),24,1:35:39
Mobb Deep,Infamy,16,1:11:09
Mobb Deep,Juvenile Hell,14,42:43:00
MOBB DEEP,MURDA MUZIK,19,1:12:27
Mobb Deep,Survival of the Fittest - EP,6,18:09
Mobb Deep,Taking You Off Here - Single,1,3:24
Moby,Almost Home (Remixes) (feat. Damien Jurado),12,1:07:22
Moby,Play,18,1:03:12
MOD SUN,Flames (feat. Avril Lavigne) - Single,1,2:32
MOD SUN,Flames (feat. Avril Lavigne) [Acoustic] - Single,1,2:27
MOD SUN,Internet Killed the Rockstar (Deluxe),19,52:25:00
Moneybagg Yo,Bet On Me,9,23:40
Moneybagg Yo,Code Red,13,38:26:00
Moneybagg Yo,Fed Baby’s,14,43:06:00
